Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,8.410357,8.450357,8.373571,8.392858,7.181309,430659600
2010-04-01,8.478929,8.526072,8.312500,8.427500,7.210952,603145200
2010-04-05,8.392143,8.518214,8.384643,8.517500,7.287958,684507600
2010-04-06,8.507143,8.580000,8.464286,8.555000,7.320046,447017200
2010-04-07,8.555357,8.640000,8.523571,8.592857,7.352440,628502000
2010-04-08,8.587143,8.626429,8.501429,8.569643,7.332576,572989200
2010-04-09,8.622500,8.638928,8.587857,8.635357,7.388804,334182800
2010-04-12,8.650000,8.681071,8.636071,8.653214,7.404083,333026400
2010-04-13,8.637857,8.671429,8.611072,8.658215,7.408362,306210800
2010-04-14,8.760000,8.778929,8.716785,8.774643,7.507982,404076400
2010-04-15,8.777857,8.893929,8.768214,8.890000,7.606689,376784800
2010-04-16,8.877500,8.969286,8.733929,8.835714,7.560237,750545600
2010-04-19,8.822500,8.853214,8.634643,8.823929,7.550154,566924400
2010-04-20,8.876429,8.901786,8.677143,8.735357,7.474366,738326400
2010-04-21,9.242857,9.294642,9.133214,9.257857,7.921442,982391200
2010-04-22,9.222857,9.526786,9.150000,9.516786,8.142996,793424800
2010-04-23,9.571072,9.720715,9.535714,9.672500,8.276231,796955600
2010-04-26,9.710000,9.730714,9.578215,9.625000,8.235586,479068800
2010-04-27,9.545357,9.565714,9.304286,9.358571,8.007619,709343600
2010-04-28,9.401786,9.428572,9.157500,9.342857,7.994169,758402400
2010-04-29,9.393572,9.642858,9.357500,9.594286,8.209305,558840800
2010-04-30,9.618215,9.663215,9.321428,9.324643,7.978589,542463600
2010-05-03,9.422857,9.567142,9.388572,9.512500,8.139327,454342000
2010-05-04,9.388928,9.403214,9.169642,9.238571,7.904941,723819600
2010-05-05,9.036786,9.219286,8.883214,9.142500,7.822736,883103200
2010-05-06,9.065357,9.223214,7.116071,8.794642,7.525095,1285860800
2010-05-07,8.703929,8.806071,8.043214,8.423572,7.207590,1676018400
2010-05-10,8.937500,9.094643,8.876071,9.071072,7.761620,984306400
2010-05-11,8.994286,9.281786,8.946428,9.161428,7.838932,848906800
2010-05-12,9.258572,9.397500,9.239285,9.360357,8.009146,654379600
2010-05-13,9.400714,9.464286,9.157143,9.227143,7.895162,599712400
2010-05-14,9.112857,9.160000,8.910714,9.065000,7.756426,759362800
2010-05-17,9.096429,9.149285,8.846786,9.079286,7.768650,762834800
2010-05-18,9.177857,9.233929,8.937857,9.012857,7.711810,782678400
2010-05-19,8.910714,9.032857,8.744643,8.869286,7.588965,1025726800
2010-05-20,8.638572,8.708928,8.436071,8.491428,7.265652,1282915200
2010-05-21,8.315000,8.732142,8.262500,8.654285,7.405000,1223891200
2010-05-24,8.831429,8.960714,8.795000,8.812857,7.540679,754238800
2010-05-25,8.548214,8.812857,8.470000,8.757857,7.493619,1048006400
2010-05-26,8.931429,9.004642,8.705358,8.718214,7.459697,850654000
2010-05-27,8.950000,9.067500,8.896786,9.048214,7.742065,666282400
2010-05-28,9.263928,9.264286,9.048214,9.174286,7.849935,815614800
2010-06-01,9.274643,9.497857,9.248571,9.315357,7.970643,876472800
2010-06-02,9.447857,9.457143,9.297500,9.426785,8.065983,688548000
2010-06-03,9.470715,9.483929,9.300357,9.397142,8.040623,650106800
2010-06-04,9.221786,9.353572,9.093928,9.141429,7.821823,758304400
2010-06-07,9.224643,9.255357,8.948215,8.962143,7.668418,886942000
2010-06-08,9.044286,9.064285,8.773214,8.904643,7.619213,1000770400
2010-06-09,8.981071,8.996428,8.660357,8.685715,7.431891,854630000
2010-06-10,8.744286,8.963572,8.650000,8.946786,7.655275,776356000
2010-06-11,8.865357,9.066428,8.834642,9.053928,7.746955,545759200
2010-06-14,9.141429,9.255357,9.071786,9.081429,7.770482,602960400
2010-06-15,9.130000,9.280357,9.125000,9.274643,7.935805,585074000
2010-06-16,9.325000,9.562500,9.308214,9.544642,8.166832,783678000
2010-06-17,9.664286,9.746428,9.625000,9.709642,8.308008,872855200
2010-06-18,9.723214,9.821428,9.693571,9.788215,8.375239,784621600
2010-06-21,9.917500,9.964643,9.597500,9.648929,8.256063,776490400
2010-06-22,9.720000,9.856071,9.696428,9.780357,8.368516,717262000
2010-06-23,9.806429,9.809286,9.567857,9.677500,8.280506,768457200
2010-06-24,9.678572,9.757143,9.575000,9.607142,8.220309,714277200
2010-06-25,9.645000,9.652500,9.493215,9.525000,8.150019,549942400
2010-06-28,9.533215,9.633928,9.447143,9.582143,8.198918,584948000
2010-06-29,9.432858,9.442500,9.082143,9.148929,7.828238,1133344800
2010-06-30,9.168214,9.213214,8.928928,8.983214,7.686444,739452000
2010-07-01,9.082143,9.100000,8.686429,8.874286,7.593241,1022896000
2010-07-02,8.946072,8.961785,8.685715,8.819285,7.546182,693842800
2010-07-06,8.964286,9.028571,8.791429,8.879642,7.597826,615235600
2010-07-07,8.946072,9.241786,8.919642,9.238214,7.904634,654556000
2010-07-08,9.374286,9.389286,9.103214,9.217500,7.886909,738144400
2010-07-09,9.174643,9.282143,9.112857,9.272142,7.933663,433322400
2010-07-12,9.233214,9.351786,9.102143,9.188929,7.862463,562878400
2010-07-13,9.154285,9.157143,8.801071,8.992857,7.694698,1190924000
2010-07-14,8.906428,9.135715,8.892858,9.026072,7.723114,812047600
2010-07-15,8.865357,9.177500,8.832143,8.980357,7.684001,824866000
2010-07-16,9.042143,9.106071,8.871786,8.925000,7.636635,1039858400
2010-07-19,8.924286,8.924286,8.557143,8.770715,7.504622,1024478000
2010-07-20,8.675000,9.032143,8.571786,8.996072,7.697446,1074950800
2010-07-21,9.467500,9.469643,9.071428,9.080000,7.769262,1185671200
2010-07-22,9.202857,9.285714,9.118215,9.250714,7.915330,645318800
2010-07-23,9.181786,9.299286,9.152857,9.283571,7.943446,533388800
2010-07-26,9.285714,9.289286,9.203929,9.260000,7.923274,420551600
2010-07-27,9.316786,9.457143,9.296429,9.431429,8.069959,584771600
2010-07-28,9.416785,9.499643,9.294642,9.320000,7.974613,519985200
2010-07-29,9.311071,9.380357,9.146428,9.218214,7.887521,643806800
2010-07-30,9.138928,9.275000,9.103572,9.187500,7.861242,448210000
2010-08-02,9.301429,9.378214,9.272142,9.351786,8.001812,428055600
2010-08-03,9.321786,9.402143,9.265000,9.354643,8.004255,417653600
2010-08-04,9.387143,9.438571,9.296785,9.392143,8.036343,420375200
2010-08-05,9.347500,9.399285,9.305357,9.346429,7.997229,289097200
2010-08-06,9.277857,9.338928,9.201072,9.288929,7.948029,444897600
2010-08-09,9.338572,9.362500,9.270357,9.348214,7.998756,303128000
2010-08-10,9.280357,9.301785,9.198215,9.264643,7.927249,451920000
2010-08-11,9.121428,9.131785,8.921785,8.935357,7.645496,620054400
2010-08-12,8.810357,9.039286,8.790000,8.992500,7.694392,534920400
2010-08-13,8.987500,8.995714,8.896071,8.896428,7.612189,354869200
2010-08-16,8.842143,8.928928,8.807858,8.844286,7.567575,318430000
2010-08-17,8.931429,9.093928,8.900000,8.998929,7.699892,422640400
2010-08-18,9.012857,9.095357,8.985000,9.038215,7.733505,339696000
2010-08-19,9.030000,9.052857,8.881429,8.924286,7.636023,426706000
2010-08-20,8.906786,9.068571,8.892858,8.915714,7.628691,384230000
2010-08-23,8.992500,9.000000,8.758928,8.778571,7.511342,414041600
2010-08-24,8.666785,8.678572,8.523214,8.568929,7.331965,602565600
2010-08-25,8.501429,8.713928,8.471429,8.674643,7.422419,596867600
2010-08-26,8.766071,8.776786,8.581429,8.581429,7.342659,466505200
2010-08-27,8.633928,8.664643,8.412857,8.629286,7.383608,548391200
2010-08-30,8.598572,8.776786,8.595715,8.660714,7.410499,383289200
2010-08-31,8.637500,8.734285,8.583928,8.682143,7.428838,420786800
2010-09-01,8.838214,8.980714,8.795714,8.940357,7.649775,697037600
2010-09-02,8.973572,9.006071,8.877500,9.006071,7.706005,415427600
2010-09-03,9.110357,9.242143,9.089286,9.241786,7.907690,520788800
2010-09-07,9.165714,9.268929,9.151786,9.207500,7.878356,342557600
2010-09-08,9.277857,9.442500,9.253572,9.390000,8.034510,526551200
2010-09-09,9.465714,9.518572,9.390000,9.395357,8.039093,438575200
2010-09-10,9.399643,9.446428,9.335714,9.407500,8.049482,387542400
2010-09-13,9.493571,9.581429,9.491428,9.537143,8.160412,388780000
2010-09-14,9.507500,9.613214,9.482857,9.573571,8.191583,408150400
2010-09-15,9.577500,9.656428,9.565714,9.650714,8.257586,429368800
2010-09-16,9.651428,9.881071,9.625000,9.877500,8.451636,652103200
2010-09-17,9.917500,9.927143,9.774285,9.834642,8.414969,634477200
2010-09-20,9.860000,10.135000,9.851786,10.115357,8.655158,658677600
2010-09-21,10.137857,10.262500,10.099643,10.134643,8.671659,668074400
2010-09-22,10.096786,10.285000,10.086071,10.276786,8.793283,585289600
2010-09-23,10.226071,10.455714,10.214286,10.318571,8.829037,786116800
2010-09-24,10.432143,10.483214,10.376785,10.440000,8.932935,649488000
2010-09-27,10.499286,10.526072,10.393214,10.398571,8.897487,482834800
2010-09-28,10.420357,10.420357,9.821428,10.245000,8.766088,1035042400
2010-09-29,10.258214,10.350357,10.214286,10.263214,8.781673,469644000
2010-09-30,10.321428,10.357142,10.044642,10.133928,8.671050,673391600
2010-10-01,10.219643,10.235000,10.048214,10.090000,8.633461,448142800
2010-10-04,10.057143,10.103572,9.920357,9.951428,8.514894,435302000
2010-10-05,10.071428,10.337500,10.065000,10.319285,8.829652,501967200
2010-10-06,10.342500,10.428214,10.187857,10.328215,8.837289,670868800
2010-10-07,10.369286,10.374286,10.246786,10.329286,8.838206,408399600
2010-10-08,10.418214,10.517858,10.357142,10.502500,8.986415,658403200
2010-10-11,10.526428,10.615714,10.521428,10.548572,9.025835,427753200
2010-10-12,10.550357,10.696428,10.446072,10.662143,9.123012,558544000
2010-10-13,10.721429,10.784286,10.707143,10.719286,9.171908,630092400
